prix_maj;prix_valeur;prix_nom
2023-12-01T10:00:00+01:00;0.949;GPLc
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-11T15:33:21+01:00;0.99;E85
;;
;;
;;
;;
;;
;;
;;
2024-01-08T12:24:16+01:00;0.849;E85
;;
;;
;;
2024-01-13T09:00:00+01:00;0.899;E85
;;
;;
;;
;;
;;
2023-12-19T16:36:03+01:00;0.915;GPLc
;;
;;
;;
2024-01-11T11:19:28+01:00;0.848;E85
;;
;;
2024-01-02T13:25:47+01:00;0.848;E85
;;
;;
2024-01-10T09:52:04+01:00;0.849;E85
;;
2023-12-27T12:05:42+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
2023-10-10T10:36:07+02:00;1.025;E85
2023-11-13T09:30:00+01:00;0.999;GPLc
2024-01-15T15:01:26+01:00;0.848;E85
2024-01-11T07:00:00+01:00;1.109;E85
2023-11-18T19:59:29+01:00;0.999;E85
;;
;;
;;
;;
2024-01-16T11:31:00+01:00;0.889;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-12T14:51:08+01:00;0.889;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-02T11:40:13+01:00;0.849;E85
2024-01-12T09:44:59+01:00;0.909;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-04T09:56:23+01:00;0.849;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-08T09:14:38+01:00;0.919;E85
;;
;;
;;
2024-01-09T20:00:00+01:00;0.999;E85
;;
2024-01-05T15:07:22+01:00;0.959;E85
;;
2023-11-29T13:35:00+01:00;0.999;E85
2023-12-20T11:18:03+01:00;0.958;E85
;;
;;
;;
;;
;;
2024-01-08T10:00:00+01:00;0.849;E85
2024-01-02T11:12:11+01:00;0.98;E85
;;
;;
;;
;;
;;
2024-01-15T11:04:24+01:00;0.945;GPLc
;;
;;
;;
;;
2024-01-04T10:41:04+01:00;0.848;E85
;;
;;
2024-01-16T09:27:00+01:00;0.876;E85
;;
;;
;;
;;
;;
;;
;;
2024-01-10T07:48:55+01:00;1.029;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T21:00:00+01:00;0.949;E85
;;
;;
2024-01-16T09:24:28+01:00;0.919;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T10:10:16+01:00;0.97;E85
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-04T08:49:51+01:00;0.919;E85
;;
;;
;;
2024-01-15T08:59:05+01:00;0.919;E85
;;
;;
;;
;;
;;
;;
;;
2024-01-16T09:55:29+01:00;0.919;GPLc
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-16T09:27:00+01:00;0.849;E85
;;
;;
2024-01-13T09:52:19+01:00;0.848;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.919;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.969;GPLc
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;1.054;GPLc
2023-12-15T10:11:58+01:00;0.999;GPLc
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.999;E85
;;
;;
;;
2024-01-12T17:33:59+01:00;0.939;GPLc
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-02T18:02:20+01:00;0.848;E85
2024-01-16T10:00:40+01:00;1.009;GPLc
;;
2024-01-15T20:31:00+01:00;1.054;GPLc
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-16T01:46:00+01:00;0.941;E85
;;
2024-01-12T21:02:11+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-10T09:51:39+01:00;0.889;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-16T10:03:24+01:00;0.949;E85
2024-01-15T13:06:46+01:00;0.949;E85
2023-12-28T09:45:01+01:00;0.899;E85
;;
;;
2024-01-02T10:51:30+01:00;0.848;E85
;;
;;
;;
;;
2023-11-25T20:29:54+01:00;0.959;E85
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-16T10:33:00+01:00;0.899;E85
;;
;;
2024-01-16T10:33:00+01:00;0.93;GPLc
2024-01-15T13:06:00+01:00;0.999;GPLc
;;
;;
;;
;;
2024-01-16T10:18:33+01:00;0.945;GPLc
;;
;;
2024-01-11T15:47:58+01:00;1.069;E85
;;
;;
;;
;;
;;
;;
2024-01-04T09:40:40+01:00;0.849;E85
;;
2024-01-10T18:16:07+01:00;0.848;E85
;;
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
;;
;;
;;
2024-01-16T01:26:00+01:00;0.95;E85
2023-12-30T10:43:47+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-02T11:38:32+01:00;0.848;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2023-12-26T12:05:46+01:00;0.999;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.999;E85
;;
;;
2024-01-04T10:54:25+01:00;0.999;E85
;;
;;
;;
;;
2024-01-03T07:00:00+01:00;1.083;GPLc
;;
;;
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.999;E85
;;
;;
;;
;;
2024-01-16T11:31:00+01:00;0.869;E85
2024-01-03T10:59:21+01:00;0.869;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2023-12-12T12:52:38+01:00;0.949;E85
;;
;;
;;
2023-11-24T09:35:45+01:00;0.959;E85
;;
;;
;;
2024-01-11T11:30:20+01:00;0.849;E85
;;
;;
;;
;;
2024-01-16T09:50:13+01:00;0.999;GPLc
2023-08-03T15:35:00+02:00;1.049;GPLc
;;
;;
;;
;;
2024-01-05T09:56:35+01:00;0.958;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T10:59:55+01:00;0.949;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2023-11-04T21:05:30+01:00;0.999;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-09T17:13:11+01:00;0.929;E85
;;
;;
;;
;;
;;
2024-01-16T08:51:00+01:00;0.955;E85
;;
;;
;;
;;
;;
;;
2023-12-22T17:41:34+01:00;0.88;E85
;;
2024-01-11T13:22:50+01:00;0.849;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T13:04:03+01:00;0.89;E85
;;
;;
;;
;;
;;
2024-01-04T19:54:29+01:00;0.919;E85
;;
;;
2023-12-02T20:00:00+01:00;0.959;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-16T10:35:00+01:00;1.046;GPLc
;;
2024-01-16T08:51:00+01:00;0.92;GPLc
;;
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
2024-01-06T11:21:17+01:00;0.848;E85
;;
2024-01-06T21:00:00+01:00;0.849;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2023-12-02T10:39:43+01:00;0.959;E85
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T19:08:29+01:00;0.909;E85
;;
;;
;;
;;
;;
;;
2024-01-10T08:56:29+01:00;0.99;E85
;;
;;
;;
;;
;;
;;
;;
2024-01-13T04:02:00+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.919;E85
;;
2024-01-13T12:17:59+01:00;1.049;GPLc
2024-01-15T10:37:39+01:00;0.889;E85
;;
2024-01-15T20:31:00+01:00;0.919;GPLc
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-16T10:30:00+01:00;1.072;GPLc
;;
;;
;;
;;
;;
;;
;;
2024-01-02T11:00:30+01:00;0.99;GPLc
2024-01-09T11:08:03+01:00;1.054;GPLc
2024-01-15T11:08:19+01:00;0.849;E85
;;
;;
2024-01-16T11:34:00+01:00;0.889;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.919;E85
;;
;;
2024-01-15T09:06:48+01:00;0.848;E85
2023-12-22T07:00:00+01:00;0.899;E85
;;
;;
;;
;;
2024-01-13T18:36:30+01:00;0.919;GPLc
2024-01-01T09:01:19+01:00;0.889;E85
2024-01-14T23:46:00+01:00;0.952;E85
2024-01-02T15:27:11+01:00;0.962;E85
;;
;;
;;
;;
;;
;;
;;
2024-01-16T11:31:00+01:00;0.869;E85
;;
;;
;;
;;
;;
2023-10-13T02:01:00+02:00;0.994;E85
2024-01-15T20:31:00+01:00;0.989;GPLc
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.919;GPLc
;;
;;
;;
2024-01-03T09:03:52+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T01:01:00+01:00;0.899;E85
;;
2024-01-16T08:13:45+01:00;0.88;GPLc
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
2024-01-11T04:01:00+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2023-11-13T09:54:56+01:00;0.99;E85
;;
;;
;;
2024-01-13T04:03:00+01:00;0.899;E85
