,prix_maj,prix_valeur,prix_nom
1724,2024-01-15 19:31:00+00:00,0.989,GPLc
1729,2024-01-15 19:31:00+00:00,0.919,GPLc
1733,2024-01-03 08:03:52+00:00,0.899,E85
1770,2024-01-15 00:01:00+00:00,0.899,E85
1772,2024-01-16 07:13:45+00:00,0.88,GPLc
1782,2024-01-15 19:31:00+00:00,0.899,E85
1805,2024-01-15 19:31:00+00:00,0.899,E85
1808,2024-01-11 03:01:00+00:00,0.899,E85
1823,2023-11-13 08:54:56+00:00,0.99,E85
1827,2024-01-13 03:03:00+00:00,0.899,E85
1828,2024-01-03 08:30:00+00:00,0.849,E85
1831,2024-01-05 19:27:47+00:00,1.02,E85
1837,2024-01-13 03:03:00+00:00,0.964,E85
1838,2024-01-15 19:31:00+00:00,0.999,E85
1839,2024-01-15 19:31:00+00:00,0.899,E85
1845,2024-01-15 19:31:00+00:00,0.929,GPLc
1849,2024-01-04 13:30:00+00:00,0.959,E85
1852,2024-01-09 08:37:17+00:00,1.0,E85
1858,2024-01-15 22:36:00+00:00,0.976,E85
1862,2024-01-15 19:31:00+00:00,0.919,E85
1865,2024-01-15 11:17:06+00:00,0.848,E85
1868,2024-01-16 07:51:00+00:00,0.95,GPLc
1874,2024-01-12 09:38:46+00:00,0.949,E85
1882,2024-01-16 08:34:29+00:00,0.848,E85
1890,2023-07-24 14:29:02+00:00,1.199,E85
1891,2024-01-15 00:01:00+00:00,0.919,E85
1892,2024-01-15 23:59:00+00:00,0.981,E85
1903,2024-01-15 00:01:00+00:00,0.899,E85
1911,2024-01-15 19:31:00+00:00,0.899,E85
1912,2023-12-07 13:35:00+00:00,1.049,GPLc
1919,2024-01-11 06:00:00+00:00,1.104,E85
1920,2024-01-15 19:31:00+00:00,0.999,E85
1937,2024-01-11 16:24:47+00:00,0.908,E85
1939,2024-01-15 00:01:00+00:00,0.919,E85
1954,2024-01-15 18:58:06+00:00,0.919,E85
1962,2024-01-15 00:01:00+00:00,0.919,E85
1964,2024-01-04 09:12:52+00:00,0.849,E85
1966,2024-01-15 00:01:00+00:00,0.899,E85
1978,2024-01-15 19:31:00+00:00,0.919,E85
1987,2024-01-08 09:00:00+00:00,0.848,E85
1989,2024-01-12 08:30:25+00:00,0.915,E85
1992,2024-01-09 12:37:21+00:00,0.859,E85
1996,2024-01-15 07:02:53+00:00,0.848,E85
1997,2024-01-08 08:32:57+00:00,0.939,E85
2002,2024-01-12 19:00:00+00:00,0.999,E85
2005,2024-01-11 17:43:49+00:00,0.848,E85
2010,2024-01-16 13:37:00+00:00,0.938,E85
2011,2024-01-15 19:31:00+00:00,0.899,E85
2022,2023-12-03 09:00:00+00:00,1.09,E85
2041,2024-01-15 09:10:00+00:00,0.888,E85
2044,2024-01-15 19:31:00+00:00,0.919,E85
2051,2024-01-13 08:58:54+00:00,0.899,E85
2064,2024-01-04 10:09:39+00:00,0.849,E85
2067,2024-01-15 22:36:00+00:00,0.93,E85
2082,2024-01-10 08:34:16+00:00,0.929,E85
2085,2024-01-16 09:30:00+00:00,1.101,GPLc
2089,2024-01-03 08:16:00+00:00,0.849,E85
2093,2024-01-15 19:31:00+00:00,0.899,E85
2103,2024-01-16 09:33:00+00:00,0.875,E85
2104,2024-01-12 19:14:12+00:00,0.919,E85
2114,2024-01-15 19:31:00+00:00,0.919,E85
2115,2024-01-15 19:31:00+00:00,0.989,GPLc
2116,2024-01-02 08:34:31+00:00,0.848,E85
2121,2023-11-22 05:11:47+00:00,1.099,E85
2123,2024-01-14 20:34:47+00:00,0.958,E85
2128,2024-01-02 09:31:55+00:00,0.849,E85
2129,2024-01-15 19:31:00+00:00,0.919,GPLc
2144,2024-01-12 12:00:13+00:00,0.959,E85
2152,2024-01-15 18:52:34+00:00,0.919,E85
2165,2023-10-25 17:36:39+00:00,0.919,GPLc
2166,2024-01-12 09:26:26+00:00,0.899,E85
2176,2024-01-15 05:55:54+00:00,0.909,E85
2181,2024-01-13 08:00:00+00:00,0.939,GPLc
2182,2024-01-16 08:39:33+00:00,0.849,E85
2185,2024-01-04 07:41:20+00:00,0.899,GPLc
2196,2024-01-09 09:34:00+00:00,0.848,E85
2199,2024-01-16 10:32:53+00:00,0.999,E85
2205,2024-01-15 00:01:00+00:00,0.919,E85
2212,2024-01-16 08:48:27+00:00,0.919,E85
2215,2024-01-13 08:03:46+00:00,0.92,GPLc
2220,2024-01-15 19:31:00+00:00,0.919,E85
2230,2024-01-13 00:00:00+00:00,0.899,E85
2251,2024-01-13 14:42:56+00:00,0.919,E85
2254,2023-07-10 17:05:00+00:00,1.099,GPLc
2270,2024-01-15 08:56:52+00:00,0.849,E85
2279,2024-01-03 08:44:45+00:00,0.849,E85
2283,2024-01-05 08:56:45+00:00,0.919,E85
2288,2024-01-16 09:04:25+00:00,1.054,GPLc
2292,2024-01-15 19:31:00+00:00,0.999,E85
2297,2024-01-16 07:51:00+00:00,0.955,E85
2298,2024-01-16 07:15:00+00:00,0.899,E85
2305,2024-01-02 10:40:19+00:00,0.848,E85
2312,2024-01-10 09:00:00+00:00,0.848,E85
2315,2023-12-21 09:47:13+00:00,0.935,E85
2319,2024-01-16 11:40:36+00:00,0.848,E85
2343,2024-01-15 21:00:00+00:00,0.899,E85
2349,2024-01-15 06:00:00+00:00,0.909,E85
2351,2024-01-02 11:47:45+00:00,0.848,E85
2353,2024-01-16 06:00:00+00:00,0.969,E85
2362,2024-01-08 11:17:20+00:00,0.848,E85
2367,2024-01-15 19:31:00+00:00,0.899,E85
2376,2024-01-15 09:01:25+00:00,0.849,E85
2390,2024-01-15 19:31:00+00:00,0.919,E85
2394,2023-10-27 19:13:01+00:00,0.952,GPLc
2410,2024-01-15 19:31:00+00:00,0.919,E85
2419,2023-12-12 08:30:00+00:00,0.949,GPLc
2422,2024-01-15 19:31:00+00:00,0.999,E85
2424,2023-10-18 13:30:00+00:00,1.049,GPLc
2426,2024-01-15 09:11:35+00:00,0.955,GPLc
2429,2023-11-10 09:18:21+00:00,0.9,GPLc
2443,2024-01-15 19:31:00+00:00,0.899,E85
2445,2023-07-27 09:09:47+00:00,1.01,GPLc
2450,2024-01-02 16:21:50+00:00,0.849,E85
2460,2024-01-06 13:02:31+00:00,0.848,E85
2465,2024-01-04 13:30:00+00:00,0.959,E85
2468,2024-01-16 00:26:00+00:00,0.952,E85
2484,2023-03-21 12:45:00+00:00,1.089,GPLc
2487,2024-01-16 06:55:01+00:00,0.979,E85
2494,2023-11-06 11:00:31+00:00,0.982,GPLc
2497,2024-01-05 19:00:00+00:00,0.919,E85
2514,2023-04-17 09:45:39+00:00,1.089,GPLc
2520,2024-01-15 11:27:14+00:00,0.848,E85
2523,2023-03-21 12:45:00+00:00,1.089,GPLc
2525,2024-01-09 09:38:29+00:00,0.899,E85
2526,2023-08-30 08:21:57+00:00,0.99,GPLc
2539,2024-01-15 13:53:47+00:00,0.995,GPLc
2543,2024-01-12 09:13:47+00:00,0.929,E85
2544,2024-01-15 19:31:00+00:00,0.899,E85
2550,2024-01-14 13:53:31+00:00,1.169,E85
2552,2024-01-12 09:03:45+00:00,0.848,E85
2558,2024-01-16 08:27:00+00:00,0.904,E85
2562,2024-01-13 07:55:45+00:00,0.969,E85
2572,2024-01-15 15:11:43+00:00,0.968,E85
2578,2024-01-16 09:36:28+00:00,1.03,E85
2586,2024-01-15 00:01:00+00:00,0.899,E85
2588,2024-01-04 19:01:37+00:00,0.919,E85
2596,2024-01-05 09:34:11+00:00,0.88,E85
2597,2024-01-05 09:34:11+00:00,0.988,GPLc
2606,2024-01-15 19:31:00+00:00,0.899,E85
2613,2024-01-15 19:31:00+00:00,1.054,GPLc
2619,2024-01-15 19:31:00+00:00,0.969,GPLc
2627,2024-01-14 12:20:22+00:00,0.919,E85
2629,2024-01-08 15:29:57+00:00,0.959,E85
2632,2024-01-15 22:36:00+00:00,0.919,GPLc
2635,2024-01-02 13:44:15+00:00,0.848,E85
2646,2024-01-13 10:20:27+00:00,0.928,E85
2661,2024-01-06 09:52:30+00:00,0.849,E85
2663,2024-01-15 19:31:00+00:00,0.924,GPLc
2667,2023-04-06 00:00:00+00:00,0.987,GPLc
2670,2024-01-16 09:08:52+00:00,0.955,GPLc
2674,2024-01-15 00:01:00+00:00,1.034,GPLc
2675,2024-01-03 11:16:42+00:00,0.999,E85
2680,2024-01-16 09:17:59+00:00,0.9,GPLc
2689,2024-01-15 08:37:11+00:00,1.038,GPLc
2699,2024-01-08 07:28:13+00:00,0.949,GPLc
2701,2024-01-13 08:30:20+00:00,0.919,E85
2703,2024-01-15 19:31:00+00:00,0.899,E85
2716,2024-01-09 07:26:11+00:00,0.954,E85
2718,2024-01-13 03:02:00+00:00,0.899,E85
2719,2023-12-08 08:30:00+00:00,0.999,GPLc
2724,2024-01-16 11:05:51+00:00,0.927,GPLc
2728,2024-01-09 14:28:54+00:00,0.94,E85
2729,2024-01-16 11:03:16+00:00,0.979,E85
2741,2024-01-03 08:09:00+00:00,0.979,E85
2767,2024-01-15 19:31:00+00:00,0.899,E85
2768,2024-01-15 18:54:37+00:00,0.919,E85
2774,2023-12-11 11:56:53+00:00,1.018,E85
2778,2024-01-15 14:00:00+00:00,0.92,E85
2780,2023-03-21 11:45:44+00:00,0.959,GPLc
2786,2024-01-05 10:09:03+00:00,0.848,E85
2794,2024-01-15 23:59:00+00:00,1.099,E85
2796,2024-01-13 08:00:00+00:00,0.919,E85
2797,2024-01-15 08:37:18+00:00,0.959,GPLc
2801,2024-01-16 08:56:28+00:00,0.992,E85
2806,2024-01-15 16:21:31+00:00,0.849,E85
2809,2024-01-15 19:31:00+00:00,0.919,E85
2810,2024-01-11 06:00:00+00:00,1.109,E85
2812,2023-11-20 16:26:19+00:00,0.994,E85
2817,2024-01-13 03:02:00+00:00,0.899,E85
2821,2024-01-16 00:01:00+00:00,1.149,GPLc
2831,2024-01-15 19:31:00+00:00,0.899,E85
2840,2023-12-30 00:01:00+00:00,0.981,E85
2851,2024-01-15 07:18:19+00:00,0.848,E85
2860,2023-12-22 11:44:41+00:00,0.899,GPLc
2874,2024-01-04 08:03:40+00:00,0.949,E85
2879,2024-01-06 07:17:55+00:00,0.962,E85
2896,2024-01-16 08:15:30+00:00,0.849,E85
2900,2024-01-15 19:31:00+00:00,0.979,GPLc
2912,2023-12-02 19:45:00+00:00,0.989,E85
2914,2024-01-16 11:07:00+00:00,1.099,GPLc
2919,2023-03-21 12:45:00+00:00,1.039,GPLc
2925,2023-09-06 12:40:00+00:00,1.229,E85
2926,2024-01-15 09:08:45+00:00,0.847,E85
2928,2024-01-05 09:35:11+00:00,0.848,E85
2933,2024-01-15 19:31:00+00:00,0.969,GPLc
